nome_territorio,dominio_orcrim,geometria
VILA BRASIL,ADA,"POLYGON((-43.4113604999999 -22.8717733999999, -43.4110547 -22.8722182999999, -43.4108401 -22.8726483, -43.4106738 -22.8732017999999, -43.4102017 -22.8742743999999, -43.4098744999999 -22.8752183999999, -43.4091718 -22.8750552999999, -43.4090859 -22.8753469, -43.4095902 -22.8754901999999, -43.4095740999999 -22.8756089, -43.4097887 -22.8756781, -43.4094883 -22.876454, -43.4088285 -22.8763058, -43.4087051 -22.8767407, -43.4081558999999 -22.8766864, -43.4081578999999 -22.8764343, -43.4073586 -22.8762118, -43.4076966 -22.8751245, -43.408512 -22.8753270999999, -43.4086139 -22.8749268, -43.4083563999999 -22.8748575999999, -43.4083348999999 -22.8749465999999, -43.4082114999999 -22.8749465999999, -43.4081525 -22.8749812, -43.4080291999999 -22.8749713, -43.4080238 -22.8750504, -43.4077447999999 -22.8750009, -43.4076482999999 -22.8750454, -43.4072781 -22.8762316, -43.4073425 -22.8765824999999, -43.4060818999999 -22.8765478999999, -43.4055400999999 -22.8765132999999, -43.4052933 -22.87637, -43.4071279 -22.8741261, -43.4074552 -22.8737406, -43.4083188 -22.8728953999999, -43.4099121 -22.8731177999999, -43.4100622999999 -22.8725987999999, -43.4092952 -22.8725148, -43.4087855 -22.8724308, -43.4100301 -22.8711901999999, -43.4104323999999 -22.8714423, -43.4105289999999 -22.8713433999999, -43.4107220999999 -22.8714224999999, -43.4113604999999 -22.8717733999999))"
VILA MALLET,ADA,"POLYGON((-43.4143524 -22.8833868, -43.4134511999999 -22.8827542, -43.4128074 -22.8811726, -43.4149532 -22.8791759, -43.4160046 -22.8785631, -43.4176138999999 -22.8797888, -43.4169702 -22.8806190999999, -43.4143524 -22.8833868))"
CURRAL DAS EGUAS,ADA,"POLYGON((-43.4198172 -22.8727555999999, -43.4193505 -22.8728000999999, -43.4175587999999 -22.8729385, -43.4174621999999 -22.8720289999999, -43.4168078 -22.8720635999999, -43.4167487999999 -22.8710455, -43.4163947 -22.8710455, -43.416325 -22.8702150999999, -43.4155096 -22.8701854, -43.4151555 -22.8702003, -43.4151019 -22.8692315, -43.4154559 -22.8692215999999, -43.4157294999999 -22.8693302999999, -43.4172331 -22.8709516, -43.4175319999999 -22.8709663999999, -43.4190072 -22.8708379, -43.4197475 -22.8711542, -43.4198172 -22.8727555999999))"
AJUDA DE BAIXO,ADA,"POLYGON((-41.7596735 -22.3333279, -41.7575707 -22.3345783, -41.7562189 -22.33305, -41.7583860999999 -22.3301322999999, -41.7575922 -22.3298743, -41.7588152 -22.3281276, -41.7622269999999 -22.3300131999999, -41.7616047 -22.3314225, -41.7596735 -22.3333279))"
FAVELA NHEME,ADA,"POLYGON((-41.7634803999999 -22.3279557999999, -41.7624825999999 -22.3265663999999, -41.7642367 -22.3272909, -41.7639255999999 -22.3279904999999, -41.7634803999999 -22.3279557999999))"
MORRO DO SAO JORGE,ADA,"POLYGON((-41.7914787 -22.3746647999999, -41.7918864 -22.3739108, -41.7922727 -22.3730972999999, -41.7918220999999 -22.3728988, -41.7919294 -22.3721844999999, -41.7922727 -22.3718074999999, -41.7925087 -22.3708947, -41.792852 -22.3709741, -41.7932597 -22.3704185, -41.7945257 -22.3705772, -41.7949548999999 -22.3709344, -41.795384 -22.3716289, -41.7946759 -22.3744267, -41.7914787 -22.3746647999999))"
PARQUE ALDEIA II,ADA,"POLYGON((-41.3418468 -21.7333480999999, -41.3420720999999 -21.7337368, -41.3424689999999 -21.7336470999999, -41.3430162 -21.7335972999999, -41.3431985999999 -21.7338862999999, -41.3435633999999 -21.7338862999999, -41.3440891 -21.7330392, -41.344529 -21.7331189, -41.3443788 -21.7335176, -41.3440998 -21.7342151999999, -41.3436492 -21.7346836, -41.3431342 -21.7349128, -41.3427586999999 -21.7350223999999, -41.3422973999999 -21.7354708999999, -41.3419541 -21.7358795, -41.3418682 -21.7351419999999, -41.3418253 -21.7343248, -41.3416751 -21.7334976, -41.3418468 -21.7333480999999))"
VISCONDE,ADA,"POLYGON((-41.7854500999999 -22.3814927, -41.786244 -22.3818102, -41.7860616 -22.3826237, -41.7855466 -22.3826634, -41.7847312 -22.3827029999999, -41.7849887 -22.3843102, -41.7819095999999 -22.384578, -41.7818774 -22.3853022, -41.7805362999999 -22.3853419, -41.7803860999999 -22.3835958999999, -41.7806864999999 -22.3822168999999, -41.7813945999999 -22.380828, -41.7830254 -22.3774251999999, -41.7858138999999 -22.3790473999999, -41.7853964 -22.3805204999999, -41.7854500999999 -22.3814927))"
VILA VINTÉM,ADA,"POLYGON((-43.4454552 -22.8750143, -43.4360996 -22.8748363999999, -43.4340612 -22.8748957, -43.4304777 -22.8747968, -43.4297266999999 -22.8746386999999, -43.4298984 -22.8743815999999, -43.4294907 -22.8743026, -43.4297266999999 -22.8733930999999, -43.4329453999999 -22.8731756999999, -43.4340397 -22.8691226999999, -43.4354987999999 -22.8692017, -43.4504334 -22.86849, -43.447086 -22.8732547, -43.4467640999999 -22.8749154, -43.4459057999999 -22.8748363999999, -43.4454552 -22.8750143))"
FAVELA DO FERRO VELHO,ADA,"POLYGON((-43.4357019 -22.8690753, -43.4352191 -22.8690357999999, -43.4355088 -22.8684921, -43.4351869 -22.8684031, -43.4352082999999 -22.8679187, -43.4346934 -22.8677408, -43.4353477999999 -22.8667225999999, -43.4379977999999 -22.8677111, -43.4374936 -22.8689567, -43.4357019 -22.8690753))"
FAVELA 14 DE JULHO,ADA,"POLYGON((-43.4146934 -22.875035, -43.4129821 -22.8750598, -43.4129230999999 -22.8740169, -43.4134167 -22.8740020999999, -43.4140093999999 -22.8740144, -43.4140227999999 -22.8739057, -43.4144143999999 -22.8739057, -43.4144386 -22.8737945, -43.4151118 -22.8738266, -43.4151279 -22.8738537999999, -43.4146934 -22.875035))"
