nome_territorio,dominio_orcrim,geometria
Polígono 1753,CV,"POLYGON((-43.2584146 -22.8722834, -43.2583984999999 -22.8726096, -43.2579425 -22.8724465, -43.2567622999999 -22.8724662999999, -43.2555874999999 -22.8725256, -43.2549384 -22.8725997, -43.2547238 -22.8726589999999, -43.2541444999999 -22.8731286, -43.2538762999999 -22.873173, -43.2541927999999 -22.8722241, -43.2543752 -22.8720362, -43.2563815 -22.8718385, -43.2566871999999 -22.8718287, -43.2573953 -22.8718039, -43.2579585999999 -22.8717248999999, -43.2582697 -22.8717397, -43.2584146 -22.8722834))"
PEDRA RASA,CV,"POLYGON((-43.3855024 -22.8316053, -43.3860174 -22.8321263999999, -43.3867683999999 -22.8329075, -43.3871867999999 -22.8335304999999, -43.3872405 -22.8340476, -43.3869721999999 -22.8343937, -43.3867791 -22.8343343999999, -43.3868328 -22.8349444999999, -43.3871546 -22.8351352999999, -43.3865109 -22.8357849999999, -43.3857277 -22.8346379, -43.3847299 -22.8334712, -43.3834204999999 -22.8327515999999, -43.383657 -22.8323339999999, -43.383957 -22.8323066, -43.385748 -22.830254, -43.3865324 -22.8303395999999, -43.3855024 -22.8316053))"
CONJUNTO NOVA ANCHIETA,CV,"POLYGON((-43.3926966 -22.8157942999999, -43.3931901999999 -22.8157992, -43.3936515 -22.8161602, -43.3924231 -22.8177721, -43.3907118 -22.8176683, -43.3924653999999 -22.8155427, -43.3926162 -22.8155816999999, -43.3926162 -22.8157052999999, -43.3926966 -22.8157942999999))"
FAVELA DO URUBUZINHO (COMPLEXO DO URUBU),CV,"POLYGON((-43.3110895999999 -22.8781352, -43.3106711999999 -22.8777891999999, -43.3105530999999 -22.8773098, -43.3100327999999 -22.8751597999999, -43.3101401 -22.875056, -43.3102527 -22.8749966999999, -43.3103814999999 -22.8749819, -43.3104941 -22.8748929, -43.3106228999999 -22.8748682, -43.3109539 -22.8745972999999, -43.3110611 -22.8747109999999, -43.3108412 -22.8750075999999, -43.3109056 -22.8753831999999, -43.3111271 -22.8756442, -43.3115885 -22.8759506, -43.3118335999999 -22.8758971999999, -43.3122574 -22.8764457999999, -43.3110895999999 -22.8781352))"
GUAXINDIBA,CV,"POLYGON((-42.9625027 -22.7795576999999, -42.9516451 -22.7771045, -42.949671 -22.7766692, -42.9502289 -22.7754426, -42.9520314 -22.7757195999999, -42.9522889 -22.7749676999999, -42.9516022 -22.7740972, -42.9510013999999 -22.7743742, -42.9508297 -22.7731474999999, -42.9506580999999 -22.7721582999999, -42.9521172 -22.7711689999999, -42.9522029999999 -22.7701797999999, -42.9531471999999 -22.7687551999999, -42.9543059 -22.7681221, -42.9547779 -22.7683991, -42.9557220999999 -22.7676076999999, -42.9558079 -22.7671328, -42.9569236999999 -22.7671723999999, -42.9576104 -22.7669349, -42.9581683 -22.7663413999999, -42.9586831999999 -22.7651938, -42.9599707 -22.7647585, -42.9612582 -22.7656686, -42.9620305999999 -22.7656291, -42.9628888999999 -22.7664996, -42.9638330999999 -22.7668954, -42.9634038999999 -22.7693092, -42.9639617999999 -22.7704568, -42.9645626 -22.7696258, -42.9657642999999 -22.7693487999999, -42.9652493 -22.7681617, -42.9652922 -22.7671723999999, -42.9657642999999 -22.7651938, -42.9665366999999 -22.7646002, -42.9688113 -22.763967, -42.9696696 -22.7642044999999, -42.9702275 -22.7659060999999, -42.9704419999999 -22.7672118999999, -42.9719011999999 -22.7687156, -42.9727594999999 -22.7710898999999, -42.9712145 -22.7714855999999, -42.9700986999999 -22.7716043, -42.9716437 -22.7723956999999, -42.9717724 -22.7737410999999, -42.9725878 -22.7746116, -42.9732314999999 -22.774849, -42.9737251 -22.7759371999999, -42.9740897999999 -22.7756997999999, -42.9744332 -22.7747105, -42.9744117 -22.7742951, -42.9750339999999 -22.7740972, -42.9753559 -22.7743346, -42.9762785 -22.7736816999999, -42.9757635 -22.7732068999999, -42.9759996 -22.7726924999999, -42.9764072999999 -22.7719011, -42.9770938999999 -22.7708919999999, -42.9770295 -22.7704962999999, -42.9776089 -22.7705754999999, -42.9776517999999 -22.7710503, -42.977566 -22.7721385, -42.9782741 -22.7721979, -42.9783384999999 -22.772554, -42.9781239 -22.7730683999999, -42.9769436999999 -22.775403, -42.9763429 -22.7755415, -42.975785 -22.7745325, -42.9748408999999 -22.7756403999999, -42.9751841999999 -22.7758383, -42.9753987999999 -22.7763527, -42.9761927 -22.7770649, -42.9753559 -22.7785883, -42.9742615 -22.779261, -42.9745189999999 -22.7807645, -42.974755 -22.7813184999999, -42.9753772999999 -22.7817142, -42.9751198 -22.7822879, -42.9625027 -22.7795576999999))"
CRUZADA SÃO SEBASTIÃO,CV,"POLYGON((-43.2164969999999 -22.981955, -43.216489 -22.9821299999999, -43.215853 -22.982277, -43.215931 -22.982449, -43.215436 -22.982591, -43.215181 -22.98184, -43.2159859999999 -22.98158, -43.2170159999999 -22.981418, -43.217026 -22.9818819999999, -43.2164969999999 -22.981955))"
PREDINHOS DO SÃO CARLOS,CV,"POLYGON((-43.2017539 -22.9155142999999, -43.2015608 -22.9158107, -43.2012817999999 -22.9157514, -43.2010564999999 -22.9157415, -43.200799 -22.9160084, -43.2005523 -22.9160972999999, -43.1996511 -22.9143778, -43.2009277999999 -22.9138639, -43.2019898999999 -22.9135082, -43.2020865 -22.9135575999999, -43.2021616 -22.9137651, -43.2026015 -22.9136465, -43.2027302 -22.9145457999999, -43.2025586 -22.9145655999999, -43.2025371 -22.9146842, -43.2022044999999 -22.9146545, -43.2021723 -22.9148225, -43.2017539 -22.9155142999999))"
FAVELA BEIRA-RIO,CV,"POLYGON((-43.4326526999999 -22.9990749, -43.4296701 -22.9983637999999, -43.4275671999999 -22.99787, -43.4277389 -22.9974946999999, -43.4295628 -22.9979885, -43.4311291999999 -22.9982453, -43.4313438 -22.9983836, -43.4324381 -22.9986008999999, -43.4344766 -22.9990354, -43.4355709 -22.9993514, -43.4363433999999 -22.99947, -43.4374807 -22.9997662, -43.4385965 -23.000102, -43.439605 -23.0001809999999, -43.44012 -23.0003785, -43.4414288999999 -23.0006551, -43.4436818999999 -23.0010995, -43.4441755 -23.0012575, -43.4453771 -23.0015142999999, -43.4462569 -23.0017908, -43.4485743 -23.0023241, -43.4500333999999 -23.0026994, -43.45278 -23.0032524, -43.4527371 -23.0035288999999, -43.452029 -23.0034697, -43.450999 -23.0033511999999, -43.4505268999999 -23.0045954999999, -43.4486601 -23.0042005, -43.4488317999999 -23.0028376, -43.4471581 -23.0024031, -43.4469596 -23.0028722, -43.4456238999999 -23.0025858, -43.4452858999999 -23.0033956, -43.4452054 -23.0032623, -43.4454522 -23.0021957, -43.4443471 -23.0019192, -43.444374 -23.0016525, -43.4434191 -23.0013711, -43.4433708 -23.0015192, -43.4424213 -23.0013463999999, -43.4423300999999 -23.0012525999999, -43.4414343 -23.0011044, -43.4399536999999 -23.0007884, -43.4392295 -23.0006648999999, -43.4388003 -23.0004724, -43.4382049 -23.0002403, -43.4370354 -22.9999983, -43.4365151 -22.9999045, -43.4326526999999 -22.9990749))"
MORRO DO TREM,CV,"POLYGON((-43.3040932 -22.8507589, -43.3042113 -22.8509961999999, -43.3043829 -22.8514015, -43.3046510999999 -22.8513422, -43.3047048 -22.8514410999999, -43.3049945 -22.8513867, -43.3050535 -22.8515844, -43.3033851 -22.8526522, -43.3034977999999 -22.8528747, -43.3031759 -22.8530081, -43.3014646999999 -22.8534233999999, -43.3003328 -22.8533294, -43.3000001999999 -22.8531416, -43.2983211 -22.8533591, -43.2978007999999 -22.8534481, -43.2970927 -22.8529981999999, -43.2958803 -22.8527460999999, -43.2952151 -22.8523309, -43.29536 -22.8522566999999, -43.2958212999999 -22.8523259, -43.2958963999999 -22.8525632, -43.2961807 -22.852583, -43.2962664999999 -22.8525336, -43.2968513 -22.8526719999999, -43.2974252999999 -22.8526472999999, -43.2975807999999 -22.8526027999999, -43.2978007999999 -22.8526323999999, -43.2977954 -22.8524791999999, -43.2982835999999 -22.8524346999999, -43.2985035 -22.8521727, -43.2986859 -22.8517376999999, -43.2985947 -22.8516289, -43.2988038999999 -22.8510752999999, -43.2987932 -22.8508479, -43.2992222999999 -22.8506599999999, -43.2995442 -22.8509071999999, -43.3001772 -22.8506204999999, -43.3004025 -22.850492, -43.3005097999999 -22.8507291999999, -43.3005742 -22.8509862999999, -43.3009496999999 -22.8511048999999, -43.3011643 -22.8516784, -43.3009711 -22.8518366, -43.3006493 -22.851708, -43.3001020999999 -22.8516784, -43.3001449999999 -22.8520442, -43.3005097999999 -22.8520639999999, -43.3008316999999 -22.8525286, -43.3013252 -22.8524396, -43.3016792 -22.8524001, -43.3018187 -22.8522123, -43.3022478999999 -22.8523408, -43.3024732 -22.852232, -43.3027628999999 -22.8519254999999, -43.3027521 -22.8516091999999, -43.3029774 -22.8512335, -43.303192 -22.8509071999999, -43.3035675 -22.8505314999999, -43.3039429999999 -22.8505562, -43.3040932 -22.8507589))"
CAJUEIROS,CV,"POLYGON((-44.1270403 -22.5397293, -44.1265789 -22.5393329, -44.1270911 -22.538518, -44.1276275 -22.5374082, -44.1287647999999 -22.536774, -44.1300522 -22.5362388999999, -44.1315114 -22.5356047, -44.1316186999999 -22.5338606, -44.1320906999999 -22.5327705, -44.1315327999999 -22.5324534, -44.1310822 -22.5318786, -44.1321121999999 -22.5316407999999, -44.1325841999999 -22.5319974999999, -44.1331850999999 -22.5318588, -44.1340648 -22.5333055999999, -44.1344081 -22.5340785999999, -44.1341507 -22.534911, -44.1342579 -22.5357036999999, -44.1341507 -22.5364172, -44.1334694 -22.5364172, -44.1335015999999 -22.53721, -44.1332654999999 -22.5376757, -44.133008 -22.5375567999999, -44.1329329 -22.536774, -44.1318707999999 -22.5366749, -44.1309052 -22.5374082, -44.1303902 -22.5375073, -44.1292314999999 -22.5380622, -44.1285447999999 -22.5384387999999, -44.1279226 -22.5389342, -44.1270857 -22.5401431999999, -44.1270403 -22.5397293))"
CERAMICA,CV,"POLYGON((-43.4627067 -22.7395991999999, -43.4606467999999 -22.7399157999999, -43.4570848 -22.7403512, -43.4570419 -22.7380952, -43.4632217 -22.7280415, -43.4631788 -22.7264185999999, -43.4637796 -22.7262997999999, -43.4645520999999 -22.7264185999999, -43.4649383 -22.7260623, -43.4657536999999 -22.725904, -43.4664404 -22.7255476999999, -43.4671269999999 -22.7249935, -43.4686718999999 -22.7255873, -43.4702169 -22.7258247999999, -43.4712039999999 -22.7256664999999, -43.4714614 -22.7249143999999, -43.4726201999999 -22.7257852, -43.4741650999999 -22.7253894, -43.4743367999999 -22.7242414999999, -43.4750663 -22.7246372999999, -43.4759246 -22.7246372999999, -43.4768258999999 -22.7243205999999, -43.4770404 -22.7237269, -43.47777 -22.7234893999999, -43.4787570999999 -22.7244393999999, -43.4798943 -22.7248946, -43.4806024 -22.7255476999999, -43.4808384 -22.7263988, -43.4814393 -22.7268144, -43.4821259 -22.7262008, -43.483864 -22.7249143999999, -43.4847222999999 -22.7248946, -43.4852372999999 -22.7241821, -43.4858166 -22.7244987, -43.4864173999999 -22.7254091999999, -43.4866319999999 -22.7264580999999, -43.4866964 -22.7274279, -43.4859668 -22.7280216999999, -43.4854733 -22.7278830999999, -43.4853659999999 -22.7271706, -43.4845935 -22.7274080999999, -43.4841 -22.7280613, -43.4844219 -22.7284372999999, -43.4840141999999 -22.7287342, -43.4832845999999 -22.7292487, -43.4838210999999 -22.7295654, -43.4848296 -22.7297237, -43.4855377 -22.7299216, -43.4865890999999 -22.7316633, -43.4871041 -22.7323757, -43.4877478 -22.7332465, -43.4884345 -22.7334048, -43.4872328 -22.7350673, -43.486117 -22.7354235, -43.4854733 -22.7361754999999, -43.4850226999999 -22.7377389, -43.4627067 -22.7395991999999))"
FAVELA DO MATA QUATRO,CV,"POLYGON((-43.3660805 -22.8405547999999, -43.3646052999999 -22.8394721, -43.3647286 -22.8393435999999, -43.3649485999999 -22.8392100999999, -43.3652061 -22.8390123, -43.3655709 -22.8387898999999, -43.365823 -22.8386366, -43.366118 -22.838602, -43.3665364999999 -22.8387256, -43.3668369 -22.8388244999999, -43.3672445999999 -22.8392001999999, -43.3660805 -22.8405547999999))"
MORRO DO ENCONTRO (COMPLEXO DO LINS),CV,"POLYGON((-43.2705311 -22.9157913999999, -43.2703701999999 -22.9158555999999, -43.2701503 -22.9158457, -43.269941 -22.9158012999999, -43.2699034999999 -22.9159149, -43.269646 -22.9159840999999, -43.2695441 -22.9161273999999, -43.2693348999999 -22.9162509, -43.2691202999999 -22.9162608, -43.2689753999999 -22.9163397999999, -43.2688252 -22.9166561, -43.2687018999999 -22.9168735, -43.2682995 -22.9170513999999, -43.2683049 -22.9171896999999, -43.2682191 -22.9171502, -43.2679990999999 -22.9171995999999, -43.2678435999999 -22.9171205, -43.2674304999999 -22.9170612, -43.2671837 -22.9168438, -43.2662879 -22.9165128, -43.2655958999999 -22.9163794, -43.2652901 -22.9161619999999, -43.2650487 -22.9160532999999, -43.2649253 -22.915989, -43.2647966 -22.9160285999999, -43.2647107 -22.9159693, -43.2643351999999 -22.915994, -43.2641153 -22.9160482999999, -43.2641689 -22.9162310999999, -43.2641098999999 -22.91633, -43.2639703999999 -22.9162805999999, -43.2638739 -22.9162310999999, -43.263831 -22.9161817, -43.2636861 -22.9161867, -43.2637129 -22.9159642999999, -43.2636914999999 -22.9158606, -43.2635734999999 -22.9158209999999, -43.2636593 -22.9155641, -43.2638524 -22.9152331, -43.2640294999999 -22.9150107, -43.2642868999999 -22.9149068999999, -43.2645552 -22.9148822, -43.2651612999999 -22.9150552, -43.2654188 -22.9151145, -43.2662235 -22.9150946999999, -43.2663790999999 -22.9151441, -43.2670067 -22.9155641, -43.2673286 -22.9156876, -43.2678543 -22.9157074, -43.2681921999999 -22.9156283, -43.2686375 -22.9154652999999, -43.2695548 -22.9154108999999, -43.2705096999999 -22.9156085999999, -43.2705311 -22.9157913999999))"
PARQUE CARIOCA,CV,"POLYGON((-43.4089726 -22.9654004, -43.4092194 -22.9647682, -43.4095842 -22.9644718, -43.4097773 -22.964215, -43.4098309 -22.9638790999999, -43.4098524 -22.9634346, -43.410067 -22.9634444, -43.4101421 -22.9633061, -43.4103674 -22.9634247, -43.4105498 -22.9630888, -43.4107321 -22.9631678, -43.4108931 -22.9628814, -43.4120839999999 -22.9634740999999, -43.4119123 -22.9638593, -43.4115045999999 -22.9644223999999, -43.4112256999999 -22.9648867, -43.4109789 -22.9651633, -43.4104747 -22.9654596999999, -43.4102063999999 -22.9654596999999, -43.4099381999999 -22.9653905, -43.4097879999999 -22.9653312, -43.4095948999999 -22.9655091, -43.4093159 -22.96543, -43.4089726 -22.9654004))"
MORRO DA FALLET,CV,"POLYGON((-43.1913623999999 -22.9255575999999, -43.1911478 -22.9253995, -43.1912336 -22.925271, -43.1912444 -22.9250931999999, -43.1910511999999 -22.9251426, -43.1908688999999 -22.9249943999999, -43.1907186999999 -22.9248461, -43.1905576999999 -22.9247473, -43.1906221 -22.9245397999999, -43.1909654 -22.9244113999999, -43.1915126 -22.9241544, -43.191695 -22.9240161, -43.1916199 -22.9238975, -43.1911263 -22.9232651, -43.1910834 -22.9229587999999, -43.1912121999999 -22.9227513, -43.1915339999999 -22.9225931999999, -43.191813 -22.9226327, -43.1921455999999 -22.9232453, -43.1924245 -22.9235418, -43.1923816 -22.9237393999999, -43.1928644 -22.9239173, -43.1932399 -22.9240161, -43.1937119999999 -22.9239469, -43.1940552999999 -22.9241446, -43.1943932999999 -22.9240062, -43.1950692 -22.9236999, -43.1951549999999 -22.9237987, -43.1951121 -22.9241446, -43.1957666 -22.9240852999999, -43.1963459 -22.9241049999999, -43.1965605 -22.9242631, -43.1968502 -22.9244310999999, -43.1971291 -22.924362, -43.1973758999999 -22.9246386, -43.1975689999999 -22.9248363, -43.1977085 -22.9251722, -43.197966 -22.9255181, -43.1977514 -22.9258836999999, -43.1976440999999 -22.92619, -43.1977406999999 -22.926437, -43.1980411 -22.9266049999999, -43.1980303999999 -22.9270003, -43.1975153999999 -22.9269904, -43.1972901 -22.9270991, -43.1968823999999 -22.9270299, -43.1962816 -22.9272177, -43.1962601 -22.9276128999999, -43.1965069 -22.9281267, -43.1966785 -22.9283639, -43.196067 -22.9287492999999, -43.195949 -22.9290159999999, -43.1960561999999 -22.9292828, -43.1956163999999 -22.9293915, -43.1955412999999 -22.9291345999999, -43.1952838 -22.9288382, -43.1952087 -22.9287492999999, -43.1948652999999 -22.9287442999999, -43.1948492999999 -22.9288036, -43.1946131999999 -22.9287987, -43.1945595999999 -22.9290358, -43.1943074 -22.9290159999999, -43.1943557 -22.9288382, -43.1942753 -22.9288184, -43.1942753 -22.9287442999999, -43.1940607 -22.9286109, -43.1939050999999 -22.928018, -43.1941626 -22.9275734, -43.1939909 -22.9274153, -43.1936798 -22.9270991, -43.1933471999999 -22.9269310999999, -43.1931112 -22.9267037999999, -43.1927785999999 -22.9267335, -43.1925962 -22.9264568, -43.1923386999999 -22.9260813, -43.1921027 -22.9259034999999, -43.1917807999999 -22.9256564, -43.1913623999999 -22.9255575999999))"
SANTA INES,CV,"POLYGON((-44.1158846 -22.5313159999999, -44.1160776999999 -22.5318313, -44.1162386999999 -22.5326142, -44.1162816 -22.5331790999999, -44.1160134 -22.5342889, -44.115316 -22.5354583, -44.1147152 -22.5365581999999, -44.1145220999999 -22.5369348, -44.1144361999999 -22.5371132, -44.1141895 -22.5371132, -44.1141787 -22.5365383999999, -44.1139749 -22.5362114, -44.1136529999999 -22.5360924999999, -44.1136744999999 -22.5365285, -44.1137818 -22.5370437999999, -44.1135672 -22.5377473999999, -44.1135027999999 -22.5392338, -44.1135886 -22.5401057999999, -44.1134281 -22.5400549, -44.1132345999999 -22.5396698, -44.1131702 -22.5391842, -44.1132239 -22.5389266, -44.1130522 -22.5383914999999, -44.1132024 -22.5380049999999, -44.1131917 -22.537133, -44.1127410999999 -22.5370437999999, -44.1127195999999 -22.5366673, -44.1127625 -22.5359438999999, -44.1130522 -22.5346259, -44.1131488 -22.5338628, -44.1132560999999 -22.5333871999999, -44.1136959 -22.5331196, -44.1138139999999 -22.5328024999999, -44.1135242999999 -22.5328223, -44.1139641999999 -22.53198, -44.1153482 -22.5305628999999, -44.1156164 -22.5307412, -44.1158846 -22.5313159999999))"
FAVELA BELEM BELEM,CV,"POLYGON((-43.292022 -22.8912528, -43.2919469 -22.8908474999999, -43.291845 -22.8907932, -43.2917644999999 -22.8907733999999, -43.2915285 -22.8905559999999, -43.2912817 -22.8907288999999, -43.2915338 -22.8910551, -43.2915230999999 -22.8911441, -43.2913783 -22.8912182, -43.2905307 -22.8901705, -43.2909974 -22.8898493, -43.2903858999999 -22.889103, -43.2898279999999 -22.8883963, -43.2899513 -22.8882876, -43.2900263999999 -22.8882776999999, -43.2901229999999 -22.8883271, -43.2903375999999 -22.8881936999999, -43.2895276 -22.8869928, -43.2890877 -22.8863355, -43.2893639 -22.8862415999999, -43.2894176 -22.8863206, -43.2894605 -22.8863552, -43.2894095 -22.8864442, -43.2899164999999 -22.8868297, -43.2901659 -22.8871829999999, -43.2906781999999 -22.8879095, -43.2907532999999 -22.8880923999999, -43.290748 -22.8882307, -43.2906836 -22.8882752, -43.2905494999999 -22.8882604, -43.2904154 -22.888211, -43.2902222 -22.8883691, -43.2903456 -22.8885124, -43.2906298999999 -22.8885718, -43.2910108 -22.8884828, -43.2914989999999 -22.8894958999999, -43.2918155 -22.8901779, -43.2920783 -22.8906375, -43.2921105 -22.8908154, -43.2921560999999 -22.8912132, -43.292022 -22.8912528))"
RECANTO DAS ACACIAS (COMPLEXO DO SALGUEIRO),CV,"POLYGON((-43.0233234 -22.7883237999999, -43.0244499 -22.7901438, -43.0245143 -22.7906778999999, -43.0241276 -22.7906910999999, -43.0229045 -22.7914527999999, -43.0221964 -22.7915813999999, -43.021381 -22.7922440999999, -43.0168647 -22.7913801999999, -43.01606 -22.7911824, -43.0163497 -22.7907372999999, -43.0162209 -22.7904702, -43.0159849 -22.7903219, -43.0162637999999 -22.7897581, -43.0166823 -22.7895998, -43.0168861 -22.7892634999999, -43.0173689 -22.7887689, -43.0171865 -22.7883237999999, -43.0170684999999 -22.788126, -43.0177229999999 -22.7875721, -43.0177337 -22.7872556, -43.0179697 -22.7866916999999, -43.018313 -22.787028, -43.021916 -22.789974, -43.021744 -22.78917, -43.021959 -22.788102, -43.0231947 -22.7871565999999, -43.0233234 -22.7883237999999))"
TAVARES (COMPLEXO DO SALGUEIRO),CV,"POLYGON((-43.0255912 -22.7779659999999, -43.0268088999999 -22.7779955999999, -43.0265095 -22.778967, -43.0266761999999 -22.7789759999999, -43.026401 -22.7804389999999, -43.026585 -22.7809397999999, -43.0264347999999 -22.7811674, -43.0242782999999 -22.7815333999999, -43.0240208 -22.781197, -43.0221754 -22.7816619, -43.0213815 -22.7822557, -43.020888 -22.7828686999999, -43.019107 -22.7815335999999, -43.0186563999999 -22.7819688, -43.0184096 -22.7817214999999, -43.0182700999999 -22.7813654, -43.0185061999999 -22.7810785, -43.0185382999999 -22.7806631, -43.0183238 -22.7803959999999, -43.0185169 -22.7802278, -43.0186348999999 -22.7798519, -43.0187744 -22.7795849, -43.0189030999999 -22.7792188999999, -43.0190319 -22.7789122, -43.0192893999999 -22.7789023, -43.0196326999999 -22.779209, -43.0203514999999 -22.7789518, -43.0204266 -22.7787934999999, -43.0204803 -22.7785461999999, -43.0205339 -22.7783286, -43.0204909999999 -22.7779922, -43.0204481 -22.7776459999999, -43.0209308999999 -22.7772305, -43.0213815 -22.7768052, -43.0217355 -22.7766766, -43.0225402 -22.7771018999999, -43.0227762 -22.7772108, -43.0226582 -22.7768546, -43.0228943 -22.7769041, -43.0230981 -22.7771612999999, -43.0236024 -22.7774284, -43.0237633 -22.7772701, -43.0239564 -22.777369, -43.0243426 -22.7770920999999, -43.0245465 -22.7769931, -43.0246538 -22.7774185, -43.0249327 -22.7771612999999, -43.0255912 -22.7779659999999))"
CATARINA NOVO (JARDIM CATARINA),CV,"POLYGON((-42.9948676 -22.8016339, -42.9933655 -22.8043241, -42.991091 -22.8087151999999, -42.9882585999999 -22.8074493, -42.9852974999999 -22.8063415999999, -42.983731 -22.8060252, -42.9802764 -22.8061241, -42.9795468 -22.8056690999999, -42.9804695 -22.8043833999999, -42.9820359 -22.801891, -42.9831730999999 -22.7989436999999, -42.983259 -22.7985480999999, -42.9841817 -22.7987656, -42.9839026999999 -22.7995569, -42.9845463999999 -22.7998734, -42.9866529999999 -22.7954599999999, -42.991374 -22.786122, -42.9981076999999 -22.7876085999999, -43.0019272 -22.7884592, -42.9974854 -22.7968073, -42.9948676 -22.8016339))"
FAVELA DO LIXÃO,CV,"POLYGON((-43.3072369999999 -22.798345, -43.305263 -22.798305, -43.3054129999999 -22.7955949999999, -43.305757 -22.794685, -43.3068939999999 -22.794092, -43.3077949999999 -22.793716, -43.3082669999999 -22.7933399999999, -43.3087609999999 -22.792925, -43.309898 -22.793696, -43.3105849999999 -22.7925089999999, -43.312966 -22.793617, -43.3123869999999 -22.7941709999999, -43.311658 -22.794863, -43.3113569999999 -22.7956149999999, -43.3105199999999 -22.798464, -43.3072369999999 -22.798345))"
RUA1,CV,"POLYGON((-43.2430219999999 -22.9873509999999, -43.2436549999999 -22.987361, -43.2440839999999 -22.9871439999999, -43.244449 -22.9869659999999, -43.245103 -22.9866499999999, -43.2456079999999 -22.986462, -43.246048 -22.986344, -43.246477 -22.986393, -43.24734 -22.9864519999999, -43.2479949999999 -22.986454, -43.247539 -22.98664, -43.246815 -22.9868069999999, -43.246407 -22.9872119999999, -43.246053 -22.9871919999999, -43.2456989999999 -22.987538, -43.245463 -22.987518, -43.2451409999999 -22.9876169999999, -43.2449 -22.987944, -43.2446849999999 -22.9880939999999, -43.2440119999999 -22.988305, -43.24369 -22.988078, -43.242829 -22.9878649999999, -43.2430219999999 -22.9873509999999))"
FAVELA DARCY VARGAS,CV,"POLYGON((-43.2508177999999 -22.8514369, -43.2496965999999 -22.8509821, -43.2496269 -22.8511008, -43.2493694 -22.8509228, -43.2496591 -22.8507448, -43.2497395 -22.8507498, -43.2498093 -22.8506707, -43.2499541 -22.8506854999999, -43.2500666999999 -22.8506409999999, -43.2502491 -22.8506212999999, -43.2503618 -22.8506212999999, -43.2503295999999 -22.8507943, -43.2510377 -22.8508783, -43.2511021 -22.8509278, -43.2511986 -22.850992, -43.2511665 -22.851081, -43.2510215999999 -22.8510858999999, -43.2509787 -22.8512441, -43.2508177999999 -22.8514369))"
FAVELA DA COROA,CV,"POLYGON((-43.2961974 -22.8861421, -43.2954999999999 -22.8857738999999, -43.2954437 -22.8858504999999, -43.2940194 -22.8851387999999, -43.2940945 -22.8850227, -43.2939229 -22.8849485, -43.2941213 -22.884652, -43.2944914999999 -22.8849188999999, -43.2946122 -22.8849410999999, -43.2946363 -22.8848990999999, -43.2948107 -22.8850004, -43.2949153 -22.8850646999999, -43.2949823 -22.8851066999999, -43.2949715999999 -22.8851561, -43.2951512999999 -22.8852451, -43.2952237 -22.8851462, -43.2957628 -22.8854279, -43.2964602 -22.8857664999999, -43.2961974 -22.8861421))"
MORRO AZUL,CV,"POLYGON((-43.3388598999999 -22.7868247, -43.3388706 -22.788193, -43.3378514 -22.7880162, -43.3373149 -22.7881336999999, -43.3363171 -22.7889150999999, -43.3360704 -22.7891438, -43.3346756 -22.7903702999999, -43.3342464999999 -22.7902812999999, -43.3344289 -22.7890449, -43.3342464999999 -22.7878777, -43.3339783 -22.7876699999999, -43.3311029 -22.7878777, -43.3310493 -22.7858201999999, -43.3308562 -22.7851277999999, -43.3289463999999 -22.7834265, -43.3305558 -22.7827933999999, -43.3309204999999 -22.7797070999999, -43.3308132 -22.7789553, -43.3314569999999 -22.7788563999999, -43.3318861 -22.7784804999999, -43.3328516999999 -22.7785003, -43.3333238 -22.7782827, -43.3342893999999 -22.7779661, -43.3353408 -22.7776891999999, -43.3366927 -22.7770164999999, -43.3375439 -22.7777659, -43.3338317 -22.7797538, -43.3339175999999 -22.7812772, -43.3346900999999 -22.7816134999999, -43.3353122999999 -22.7823850999999, -43.33577 -22.7825758, -43.3363423 -22.7827609999999, -43.3379801 -22.782279, -43.3388098999999 -22.7817717999999, -43.3391961999999 -22.7824049, -43.3391817 -22.7829867999999, -43.3386024 -22.7838024, -43.3390745 -22.7839165999999, -43.3390959 -22.7854795, -43.3392461 -22.7860334, -43.3388598999999 -22.7868247))"
PARQUE JURITI,CV,"POLYGON((-43.3451041 -22.8030107, -43.3437951 -22.8027931, -43.3439453 -22.8002413999999, -43.3441599 -22.7998655, -43.3446964 -22.8002018, -43.3472497999999 -22.8003403, -43.3479149999999 -22.8003798, -43.3478936 -22.8011513, -43.3479579 -22.8017447, -43.347679 -22.8024369999999, -43.3475288 -22.8031688999999, -43.3451041 -22.8030107))"
VACARIA,CV,"POLYGON((-43.2886238999999 -22.8521502, -43.2884093 -22.8518683999999, -43.2877227 -22.8519623999999, -43.2875402999999 -22.8514878, -43.2875425 -22.8513000999999, -43.2878643999999 -22.8509195, -43.2876636999999 -22.8505337, -43.2876047 -22.8504199999999, -43.2878567999999 -22.8502371, -43.2880982 -22.8501381999999, -43.2883772 -22.8498614, -43.2881733 -22.8496291, -43.2892783999999 -22.8487886999999, -43.2897503999999 -22.849283, -43.2897665 -22.8494066, -43.289611 -22.8495647999999, -43.2895465999999 -22.8498663999999, -43.2892355 -22.8503112999999, -43.2892462 -22.8506029, -43.289273 -22.8510231, -43.2890692 -22.8513444, -43.2891174 -22.8514532, -43.2894178999999 -22.8514779, -43.2894338999999 -22.8515866999999, -43.2891443 -22.8517646, -43.288699 -22.8521254999999, -43.2886238999999 -22.8521502))"
