id_ponto,nome_area_fm,id_trecho,geometry
c5dfbb35-db18-41b8-9a58-97754e5b10eb,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,49997,POINT (-43.1926919341263 -22.906366088768127)
9cb73080-c07b-4af9-9965-78e5eb2ee68f,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,58753,POINT (-43.180045352804434 -22.903263063939242)
be473851-4818-4976-ad38-a9993bbfe175,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51690,POINT (-43.18267586043794 -22.90579696493194)
bd259398-d1d5-453b-9999-5ee1530e67ec,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,46568,POINT (-43.176239964795194 -22.910076200027802)
846e8c1c-a7b2-473c-98b6-5cea3eb0c785,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70357,POINT (-43.1760764176613 -22.91169388459443)
965de837-8ff1-499e-9d8a-baa95962afaf,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70360,POINT (-43.178354300916 -22.908693269157926)
f0bb2487-ae85-43e2-90a6-2b7be3a037e1,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,72244,POINT (-43.17753598636348 -22.905406352634138)
925ab7e8-c7ab-4580-b687-e8a71ad1ea89,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51616,POINT (-43.17592472798734 -22.91192575664964)
3ded976a-0257-4e4f-89a3-9a4b5ae1edc6,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,203721,POINT (-43.18072483664047 -22.90794115329859)
de911043-3541-4196-9c93-425cdb64720a,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,305374,POINT (-43.18105521350775 -22.90763594914592)
77f176d5-7bcd-48e6-95ed-b7393acd8f29,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70377,POINT (-43.18604684351284 -22.90828658163044)
63803fcd-1f9e-4e9b-8614-6a97e59aa0e1,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51516,POINT (-43.18716903140384 -22.903570797859686)
14ff09b5-4241-4d17-870b-6104bbcf8e07,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,49994,POINT (-43.19161517326749 -22.90998872952527)
580aadfa-4737-424c-94a4-b7f831916777,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,63993,POINT (-43.18079012269009 -22.90552005803789)
e194401a-1ede-4261-a223-92e23cfe3b88,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70275,POINT (-43.17905320122803 -22.901134055395993)
d1cf6d24-fb8a-460f-95b6-45fd5b3e6cff,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,64693,POINT (-43.17981729813257 -22.903442013492928)
d13d39f1-272d-4ad2-b2f3-9540492529f3,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51518,POINT (-43.18284027949353 -22.905382918456024)
5ec6e6ea-dff1-4ee9-860d-849e78a64af9,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,49996,POINT (-43.19260069740815 -22.90666172077775)
204c6058-2a4d-410a-a121-2405476564bb,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,72244,POINT (-43.177686560922496 -22.904994199637752)
901f83a1-d861-40bd-8cdd-835a3cf3df4c,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51538,POINT (-43.17907384055068 -22.90145251395868)
96ab3c53-5ac4-4d00-9e34-af77165c8cb1,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,99881,POINT (-43.19696282647571 -22.90686559378131)
39183e08-d271-43ae-b1af-2597643401ad,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70372,POINT (-43.181995953506274 -22.90709753365427)
eae1f0b1-e6ec-4d2a-9e21-8f180b57a52e,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70205,POINT (-43.17740735759715 -22.905746074580126)
